model,hidden_layers,alpha,activation,learning_rate_init,accuracy,precision_macro,recall_macro,f1_macro,top_2_accuracy
mlp_layers_128_64_alpha_0_0001_tanh_lr_0_001,"(128, 64)",0.0001,tanh,0.001,0.6416184971098265,0.6420199157722918,0.6660398282273282,0.6432199305877144,0.7803468208092486
mlp_layers_128_64_alpha_0_001_tanh_lr_0_001,"(128, 64)",0.001,tanh,0.001,0.6416184971098265,0.6420199157722918,0.6660398282273282,0.6432199305877144,0.7803468208092486
mlp_layers_128_64_alpha_0_01_tanh_lr_0_001,"(128, 64)",0.01,tanh,0.001,0.6416184971098265,0.6420199157722918,0.6660398282273282,0.6432199305877144,0.7803468208092486
mlp_layers_128_64_alpha_0_001_relu_lr_0_0005,"(128, 64)",0.001,relu,0.0005,0.6416184971098265,0.6962079039381671,0.6415147468272469,0.64159504815688,0.7456647398843931
mlp_layers_128_64_alpha_0_01_relu_lr_0_0005,"(128, 64)",0.01,relu,0.0005,0.6416184971098265,0.6962079039381671,0.6415147468272469,0.64159504815688,0.7456647398843931
mlp_layers_128_64_alpha_0_0001_relu_lr_0_0005,"(128, 64)",0.0001,relu,0.0005,0.6416184971098265,0.699657634032634,0.6415147468272469,0.6415051482194191,0.7398843930635838
mlp_layers_64_alpha_0_0001_relu_lr_0_001,"(64,)",0.0001,relu,0.001,0.6242774566473989,0.6481640404042484,0.6447759647759648,0.6398624066348901,0.7456647398843931
mlp_layers_64_alpha_0_001_relu_lr_0_001,"(64,)",0.001,relu,0.001,0.6242774566473989,0.6481640404042484,0.6447759647759648,0.6398624066348901,0.7456647398843931
mlp_layers_64_alpha_0_01_relu_lr_0_001,"(64,)",0.01,relu,0.001,0.6242774566473989,0.6481640404042484,0.6447759647759648,0.6398624066348901,0.7456647398843931
mlp_layers_128_64_alpha_0_0001_tanh_lr_0_0005,"(128, 64)",0.0001,tanh,0.0005,0.630057803468208,0.6343579679177506,0.6514244436119436,0.6335946104809439,0.7861271676300579
mlp_layers_128_64_alpha_0_001_tanh_lr_0_0005,"(128, 64)",0.001,tanh,0.0005,0.630057803468208,0.6343579679177506,0.6514244436119436,0.6335946104809439,0.7861271676300579
mlp_layers_128_64_alpha_0_01_tanh_lr_0_0005,"(128, 64)",0.01,tanh,0.0005,0.630057803468208,0.6343579679177506,0.6514244436119436,0.6335946104809439,0.7861271676300579
mlp_layers_128_64_alpha_0_0001_relu_lr_0_001,"(128, 64)",0.0001,relu,0.001,0.6242774566473989,0.6831265140088669,0.621797484922485,0.621911412092155,0.7398843930635838
mlp_layers_128_64_alpha_0_001_relu_lr_0_001,"(128, 64)",0.001,relu,0.001,0.6242774566473989,0.6831265140088669,0.621797484922485,0.621911412092155,0.7398843930635838
